#Iter Objective            rel.obj      ||grad||           rel.||grad||    stepsize
 69: 2.32396320692002e-01  3.4585e-01  1.22415072432994e+00  5.6809e-02  0.00312500
 70: 2.31569831149938e-01  3.4462e-01  8.51035024918756e-01  3.9494e-02  0.00156250
 71: 2.31475606207081e-01  3.4448e-01  1.54999342911376e+00  7.1930e-02  0.00312500
 72: 2.30381614344781e-01  3.4285e-01  1.02486207086091e+00  4.7561e-02  0.00156250
 73: 2.29689212597798e-01  3.4182e-01  7.43054046029487e-01  3.4483e-02  0.00156250
 74: 2.29300941322007e-01  3.4124e-01  1.24617060889937e+00  5.7831e-02  0.00312500
 75: 2.28449035187472e-01  3.3997e-01  8.50899161988670e-01  3.9487e-02  0.00156250
 76: 2.28399812839076e-01  3.3990e-01  1.54177363254628e+00  7.1549e-02  0.00312500
 77: 2.27280224129316e-01  3.3824e-01  1.00291407583007e+00  4.6542e-02  0.00156250
 78: 2.26622824187661e-01  3.3726e-01  7.32771573755373e-01  3.4006e-02  0.00156250
 79: 2.26252124155623e-01  3.3671e-01  1.24238666809665e+00  5.7655e-02  0.00312500
 80: 2.25435269824985e-01  3.3549e-01  8.53978329445672e-01  3.9630e-02  0.00156250
 81: 2.24864324598081e-01  3.3464e-01  6.56774139562237e-01  3.0479e-02  0.00156250
 82: 2.24319661450146e-01  3.3383e-01  1.01666535469072e+00  4.7180e-02  0.00312500
 83: 2.23654128337439e-01  3.3284e-01  7.31712372656282e-01  3.3956e-02  0.00156250
 84: 2.23319525892654e-01  3.3234e-01  1.24029294848011e+00  5.7558e-02  0.00312500
 85: 2.22492885799259e-01  3.3111e-01  8.41793483038022e-01  3.9065e-02  0.00156250
 86: 2.21942565583041e-01  3.3029e-01  6.49722094813336e-01  3.0151e-02  0.00156250
 87: 2.21419151458717e-01  3.2951e-01  1.01596282855158e+00  4.7148e-02  0.00312500
 88: 2.20773276140013e-01  3.2855e-01  7.32697737424138e-01  3.4002e-02  0.00156250
 89: 2.20478906905747e-01  3.2811e-01  1.26630313750920e+00  5.8765e-02  0.00312500
 90: 2.19662756111239e-01  3.2690e-01  8.61369914374860e-01  3.9973e-02  0.00156250
 91: 2.19105967226321e-01  3.2607e-01  6.53048271103672e-01  3.0306e-02  0.00156250
 92: 2.18624569984456e-01  3.2535e-01  1.03223164242346e+00  4.7903e-02  0.00312500
 93: 2.17966201623619e-01  3.2437e-01  7.33205952717707e-01  3.4026e-02  0.00156250
 94: 2.17705270679788e-01  3.2399e-01  1.26547545310092e+00  5.8727e-02  0.00312500
 95: 2.16874813859386e-01  3.2275e-01  8.49677058665193e-01  3.9431e-02  0.00156250
 96: 2.16337274512493e-01  3.2195e-01  6.46957475734718e-01  3.0023e-02  0.00156250
 97: 2.15873431416147e-01  3.2126e-01  1.03284145181432e+00  4.7931e-02  0.00312500
 98: 2.15233339249172e-01  3.2031e-01  7.35755628207681e-01  3.4144e-02  0.00156250
 99: 2.15011344032563e-01  3.1998e-01  1.29464378185798e+00  6.0080e-02  0.00312500
100: 2.14189128352938e-01  3.1875e-01  8.72199861115537e-01  4.0476e-02  0.00156250
101: 2.13641640377241e-01  3.1794e-01  6.52073426033703e-01  3.0261e-02  0.00156250
102: 2.13218910142076e-01  3.1731e-01  1.05158736687056e+00  4.8801e-02  0.00312500
103: 2.12562284037487e-01  3.1633e-01  7.37628359330815e-01  3.4231e-02  0.00156250
104: 2.12372559317870e-01  3.1605e-01  1.29495545081046e+00  6.0095e-02  0.00312500
105: 2.11531727909465e-01  3.1480e-01  8.60732776470769e-01  3.9944e-02  0.00156250
106: 2.11002805595800e-01  3.1401e-01  6.46692421171706e-01  3.0011e-02  0.00156250
107: 2.10595031578175e-01  3.1340e-01  1.05338826971025e+00  4.8884e-02  0.00312500
108: 2.09955920547427e-01  3.1245e-01  7.41611262499364e-01  3.4416e-02  0.00156250
109: 2.09805162923445e-01  3.1223e-01  1.32742376105251e+00  6.1601e-02  0.00312500
110: 2.08970744882632e-01  3.1099e-01  8.86276914273847e-01  4.1129e-02  0.00156250
111: 2.08428552591020e-01  3.1018e-01  6.53516762330393e-01  3.0328e-02  0.00156250
112: 2.08062223073200e-01  3.0964e-01  1.07466789812058e+00  4.9872e-02  0.00312500
113: 2.07402549847886e-01  3.0865e-01  7.44746335821495e-01  3.4561e-02  0.00156250
114: 2.07283937583419e-01  3.0848e-01  1.32879159650034e+00  6.1665e-02  0.00312500
115: 2.06426527721084e-01  3.0720e-01  8.74824479567746e-01  4.0598e-02  0.00156250
116: 2.05902726825145e-01  3.0642e-01  6.48676537381959e-01  3.0103e-02  0.00156250
117: 2.05549437657079e-01  3.0590e-01  1.07758950605866e+00  5.0007e-02  0.00312500
