#Iter Objective            rel.obj      ||grad||           rel.||grad||    stepsize
 69: 2.31767752164991e-04  3.4491e-04  4.72987413487503e-02  2.1950e-03  0.10000000
 70: 1.94523140882517e-04  2.8949e-04  4.23817392643575e-02  1.9668e-03  0.10000000
 71: 1.64354999159650e-04  2.4459e-04  3.63788779551127e-02  1.6882e-03  0.10000000
 72: 1.39727232639801e-04  2.0794e-04  3.27556314355604e-02  1.5201e-03  0.10000000
 73: 1.19615947338649e-04  1.7801e-04  2.76061732595794e-02  1.2811e-03  0.10000000
 74: 1.03190051082960e-04  1.5357e-04  2.49052396728354e-02  1.1558e-03  0.10000000
 75: 8.96625213771061e-05  1.3343e-04  2.05837543165522e-02  9.5523e-04  0.10000000
 76: 7.84666956800313e-05  1.1677e-04  1.86303517257676e-02  8.6457e-04  0.10000000
 77: 6.89914590902908e-05  1.0267e-04  1.50331657921728e-02  6.9764e-04  0.10000000
 78: 6.09940022337155e-05  9.0770e-05  1.35818136661210e-02  6.3029e-04  0.10000000
 79: 5.39228511509785e-05  8.0247e-05  1.09709102050287e-02  5.0912e-04  0.10000000
 80: 4.75494929126953e-05  7.0763e-05  9.94008010724394e-03  4.6129e-04  0.10000000
 81: 4.14849134092931e-05  6.1737e-05  8.04602709331069e-03  3.7339e-04  0.10000000
 82: 3.59466726930943e-05  5.3495e-05  7.13559716655926e-03  3.3114e-04  0.10000000
 83: 3.09251344953705e-05  4.6022e-05  6.50669253725755e-03  3.0195e-04  0.10000000
 84: 2.57724668560945e-05  3.8354e-05  5.75532846748610e-03  2.6709e-04  0.10000000
 85: 2.11460390946367e-05  3.1469e-05  5.26011312159942e-03  2.4410e-04  0.10000000
 86: 1.75960036976690e-05  2.6186e-05  5.62120170307427e-03  2.6086e-04  0.10000000
 87: 1.46437707390868e-05  2.1793e-05  4.30106332682188e-03  1.9960e-04  0.10000000
 88: 1.21586856305097e-05  1.8094e-05  6.73390363954018e-03  3.1250e-04  0.10000000
 89: 1.00771762070317e-05  1.4997e-05  4.84539576847827e-03  2.2486e-04  0.10000000
 90: 8.37142397939538e-06  1.2458e-05  6.58719693270664e-03  3.0569e-04  0.10000000
 91: 6.90843125691356e-06  1.0281e-05  3.96113735857779e-03  1.8382e-04  0.10000000
 92: 5.72928956970550e-06  8.5263e-06  4.58171899974770e-03  2.1262e-04  0.10000000
 93: 4.72692576942235e-06  7.0345e-06  2.59243641262602e-03  1.2031e-04  0.10000000
 94: 3.91620767098036e-06  5.8280e-06  2.39716728325848e-03  1.1124e-04  0.10000000
 95: 3.24048972477549e-06  4.8225e-06  2.73775265089158e-03  1.2705e-04  0.10000000
 96: 2.66662933061618e-06  3.9684e-06  2.21079569582425e-03  1.0260e-04  0.10000000
 97: 2.19631594349476e-06  3.2685e-06  2.52021716593767e-03  1.1696e-04  0.10000000
 98: 1.79890035268988e-06  2.6771e-06  1.81504028540655e-03  8.4230e-05  0.10000000
 99: 1.47714196037022e-06  2.1983e-06  1.82500889642361e-03  8.4693e-05  0.10000000
100: 1.20874025193275e-06  1.7988e-06  1.59706597267364e-03  7.4115e-05  0.10000000
101: 9.89269882735857e-07  1.4722e-06  1.41987716838892e-03  6.5892e-05  0.10000000
102: 8.10508732200489e-07  1.2062e-06  1.48326286049742e-03  6.8833e-05  0.10000000
103: 6.60479039500132e-07  9.8292e-07  1.22446006541451e-03  5.6823e-05  0.10000000
104: 5.39081144328929e-07  8.0225e-07  1.18369866699321e-03  5.4932e-05  0.10000000
105: 4.33305905804295e-07  6.4484e-07  1.91869281190998e-03  8.9040e-05  0.10000000
106: 3.59144459462711e-07  5.3447e-07  1.75032088214892e-03  8.1227e-05  0.10000000
107: 2.93844059940545e-07  4.3729e-07  1.48106207292947e-03  6.8731e-05  0.10000000
108: 2.40072993577798e-07  3.5727e-07  1.51956523904314e-03  7.0518e-05  0.10000000
109: 1.94242619091260e-07  2.8907e-07  8.43209040721361e-04  3.9131e-05  0.10000000
110: 1.58724922072363e-07  2.3621e-07  7.61732136761896e-04  3.5350e-05  0.10000000
111: 1.29509496577564e-07  1.9273e-07  7.55912468870383e-04  3.5079e-05  0.10000000
112: 1.05945703803045e-07  1.5767e-07  6.44929680252452e-04  2.9929e-05  0.10000000
113: 8.63760516753835e-08  1.2854e-07  6.65022865867319e-04  3.0862e-05  0.10000000
114: 7.03084367229599e-08  1.0463e-07  5.21341358176677e-04  2.4194e-05  0.10000000
115: 5.74006595063371e-08  8.5423e-08  5.15154918116847e-04  2.3907e-05  0.10000000
116: 4.68859619367693e-08  6.9775e-08  4.18055042140592e-04  1.9401e-05  0.10000000
117: 3.83980149186515e-08  5.7143e-08  3.81904823842882e-04  1.7723e-05  0.10000000
118: 3.15503940183646e-08  4.6953e-08  3.58577805737952e-04  1.6640e-05  0.10000000
119: 2.59364378885833e-08  3.8598e-08  3.04789611675420e-04  1.4144e-05  0.10000000
120: 2.14341227459617e-08  3.1898e-08  2.94588379679996e-04  1.3671e-05  0.10000000
121: 1.77142627493651e-08  2.6362e-08  2.49913766416497e-04  1.1598e-05  0.10000000
122: 1.47339942228992e-08  2.1927e-08  2.22998256179507e-04  1.0349e-05  0.10000000
123: 1.23065702616734e-08  1.8314e-08  2.21935278521956e-04  1.0299e-05  0.10000000
124: 1.03174679965309e-08  1.5354e-08  1.80965258683961e-04  8.3980e-06  0.10000000
125: 8.72511355141596e-09  1.2985e-08  1.89518203229839e-04  8.7949e-06  0.10000000
126: 7.37852511444116e-09  1.0981e-08  1.44649475457113e-04  6.7127e-06  0.10000000
127: 6.31105894123618e-09  9.3920e-09  1.41913068942610e-04  6.5857e-06  0.10000000
128: 5.43476794728048e-09  8.0880e-09  1.16601502494543e-04  5.4111e-06  0.10000000
129: 4.70241114952504e-09  6.9981e-09  1.09255086953742e-04  5.0702e-06  0.10000000
130: 4.10793897013297e-09  6.1134e-09  9.62862014644185e-05  4.4683e-06  0.10000000
131: 3.59063989461428e-09  5.3435e-09  8.64209473904143e-05  4.0105e-06  0.10000000
132: 3.15093551939287e-09  4.6892e-09  8.18419016922821e-05  3.7980e-06  0.10000000
133: 2.78425395013003e-09  4.1435e-09  6.82840461736306e-05  3.1688e-06  0.10000000
134: 2.48937684845250e-09  3.7047e-09  6.68135360066320e-05  3.1006e-06  0.10000000
135: 2.23374975156548e-09  3.3242e-09  5.77396649382585e-05  2.6795e-06  0.10000000
136: 1.99895531304256e-09  2.9748e-09  5.35661918126251e-05  2.4858e-06  0.10000000
137: 1.75885652028621e-09  2.6175e-09  6.07962968544565e-05  2.8214e-06  0.10000000
138: 1.56800225140199e-09  2.3335e-09  4.78277924706635e-05  2.2195e-06  0.10000000
139: 1.40492575648206e-09  2.0908e-09  4.94587822128834e-05  2.2952e-06  0.10000000
140: 1.24797196574042e-09  1.8572e-09  3.59261989661585e-05  1.6672e-06  0.10000000
